,Brite,Definition,Ensembl,Entry,KO,Module,Motif,Other DBs,Pathway,Gene_ID,Protein_ID,UniProt
4477,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Overview  01230 Biosynthesis of amino acids  CHLREDRAFT_184947 (ASB2)  Amino acid metabolism  00400 Phenylalanine, tyrosine and tryptophan biosynthesis  CHLREDRAFT_184947 (ASB2) Enzymes [BR:cre01000] ?5. Isomerases  5.3 Intramolecular oxidoreductases  5.3.1 Interconverting aldoses and ketoses, and related compounds  5.3.1.24 phosphoribosylanthranilate isomerase  CHLREDRAFT_184947 (ASB2)",(RefSeq) phosphoribosylanthranilate isomerase,CHLREDRAFT_184947,CHLREDRAFT_184947?CDS T01039,K01817 phosphoribosylanthranilate isomerase [EC:5.3.1.24],,Pfam:?PRAI,NCBI-GeneID:?5722618NCBI-ProteinID:?XP_001696946JGI:?184947UniProt:?A8J650,"cre00400 Phenylalanine, tyrosine and tryptophan biosynthesiscre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolitescre01230 Biosynthesis of amino acids",5722618,XP_001696946,A8J650
4478,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Transcription  03040 Spliceosome  CHLREDRAFT_184951 Spliceosome [BR:cre03041] ?Complex B  Other components  Prp19-related factors  CHLREDRAFT_184951 ?Complex C  CHLREDRAFT_184951,(RefSeq) hypothetical protein,CHLREDRAFT_184951,CHLREDRAFT_184951?CDS T01039,K12871 coiled-coil domain-containing protein 12,"cre_M00355 Spliceosome, 35S U5-snRNP",Pfam:?cwf18 nsp8,NCBI-GeneID:?5722629NCBI-ProteinID:?XP_001697076JGI:?184951UniProt:?A8J673,cre03040 Spliceosome,5722629,XP_001697076,A8J673
4479,,(RefSeq) rRNA methylase,CHLREDRAFT_184954,CHLREDRAFT_184954?CDS T01039,,,Pfam:?rRNA_methylase Methyltransf_31 Methyltransf_25 PCMT Ubie_methyltran Methyltransf_5 GCD14 Methyltransf_24 Methyltransf_32,NCBI-GeneID:?5722638NCBI-ProteinID:?XP_001696955JGI:?184954UniProt:?A8J693,,5722638,XP_001696955,A8J693
4480,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Energy metabolism  00195 Photosynthesis  CHLREDRAFT_184971 (PSAD) Photosynthesis proteins [BR:cre00194] ?Photosystem and electron transport system  Photosystem I (P700 chlorophyll a) [OT]  Main subunits  CHLREDRAFT_184971 (PSAD),"(RefSeq) photosystem I reaction center subunit II, 20 kDa",CHLREDRAFT_184971,CHLREDRAFT_184971?CDS T01039,K02692 photosystem I subunit II,cre_M00163 Photosystem Icre_M00611 Oxygenic photosynthesis in plants and cyanobacteria,Pfam:?PsaD,NCBI-GeneID:?5723339NCBI-ProteinID:?XP_001697722JGI:?184971UniProt:?Q39615 Q5NKW4,cre00195 Photosynthesiscre01100 Metabolic pathways,5723339,XP_001697722,Q39615 Q5NKW4
4481,,(RefSeq) hypothetical protein,CHLREDRAFT_184984,CHLREDRAFT_184984?CDS T01039,,,Pfam:?DUF1230 TrbC,NCBI-GeneID:?5723356NCBI-ProteinID:?XP_001697798JGI:?184984UniProt:?A8J8C0,,5723356,XP_001697798,A8J8C0
4482,,(RefSeq) hypothetical protein,CHLREDRAFT_184987,CHLREDRAFT_184987?CDS T01039,,,Pfam:?HAD_2 Hydrolase HAD Hydrolase_6,NCBI-GeneID:?5723304NCBI-ProteinID:?XP_001697806JGI:?184987UniProt:?A8J8D4,,5723304,XP_001697806,A8J8D4
4483,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  04130 SNARE interactions in vesicular transport  CHLREDRAFT_185010 (SFT1) Membrane trafficking [BR:cre04131] ?SNARE  SNAP-25[C] (Qc)  Sft1  CHLREDRAFT_185010 (SFT1)","(RefSeq) Qc-SNARE protein, SFT1 family",CHLREDRAFT_185010,CHLREDRAFT_185010?CDS T01039,K08505 protein transport protein SFT1,,Pfam:?SNARE THOC7 Sec20,NCBI-GeneID:?5723210NCBI-ProteinID:?XP_001697670JGI:?185010UniProt:?A8J818,cre04130 SNARE interactions in vesicular transport,5723210,XP_001697670,A8J818
4484,,(RefSeq) hypothetical protein,CHLREDRAFT_185012,CHLREDRAFT_185012?CDS T01039,,,Pfam:?CBS PRC DUF2733 DUF5040,NCBI-GeneID:?5723212NCBI-ProteinID:?XP_001697671JGI:?185012UniProt:?A8J820,,5723212,XP_001697671,A8J820
4485,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Energy metabolism  00190 Oxidative phosphorylation  CHLREDRAFT_185013 (NUO7) Enzymes [BR:cre01000] ?1. Oxidoreductases  1.6 Acting on NADH or NADPH  1.6.5 With a quinone or similar compound as acceptor  1.6.5.3 NADH:ubiquinone reductase (H+-translocating)  CHLREDRAFT_185013 (NUO7)  1.6.99 With unknown physiological acceptors  1.6.99.3 NADH dehydrogenase  CHLREDRAFT_185013 (NUO7),(RefSeq) NADH:ubiquinone oxidoreductase 49 kDa ND7 subunit,CHLREDRAFT_185013,CHLREDRAFT_185013?CDS T01039,K03935 NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3],"cre_M00143 NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",Pfam:?Complex1_49kDa NiFeSe_Hases,NCBI-GeneID:?5723213NCBI-ProteinID:?XP_001697607JGI:?185013UniProt:?Q6V9A8,cre00190 Oxidative phosphorylationcre01100 Metabolic pathways,5723213,XP_001697607,Q6V9A8
4486,,(RefSeq) hypothetical protein,CHLREDRAFT_185022,CHLREDRAFT_185022?CDS T01039,,,Pfam:?ADH_zinc_N ADH_zinc_N_2 ADH_N TrkA_N ADH_N_2,NCBI-GeneID:?5722863NCBI-ProteinID:?XP_001697293JGI:?185022UniProt:?A8J6Y3,,5722863,XP_001697293,A8J6Y3
4487,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03010 Ribosome  CHLREDRAFT_185040 (PRPL4) Ribosome [BR:cre03011] ?Ribosomal Proteins  Mitochondria/ Chloroplast  Large subunit  CHLREDRAFT_185040 (PRPL4)  Bacteria  CHLREDRAFT_185040 (PRPL4),(RefSeq) plastid ribosomal protein L4,CHLREDRAFT_185040,CHLREDRAFT_185040?CDS T01039,K02926 large subunit ribosomal protein L4,,Pfam:?Ribosomal_L4 DUF3490,NCBI-GeneID:?5722911NCBI-ProteinID:?XP_001697380JGI:?185040UniProt:?Q84U22,cre03010 Ribosome,5722911,XP_001697380,Q84U22
4488,,(RefSeq) hypothetical protein,CHLREDRAFT_185062,CHLREDRAFT_185062?CDS T01039,,,Pfam:?4F5,NCBI-GeneID:?5723542NCBI-ProteinID:?XP_001697983JGI:?185062UniProt:?A8J8W7,,5723542,XP_001697983,A8J8W7
4489,,(RefSeq) ubiquinone/menaquinone biosynthesis methyltransferase-like protein,CHLREDRAFT_185063,CHLREDRAFT_185063?CDS T01039,,,Pfam:?Methyltransf_11 Methyltransf_25 Methyltransf_31 Ubie_methyltran Methyltransf_12 Methyltransf_23 Methyltransf_8 N6_N4_Mtase Methyltransf_29 MetW,NCBI-GeneID:?5723615NCBI-ProteinID:?XP_001698058JGI:?185063UniProt:?A8J8W9,,5723615,XP_001698058,A8J8W9
4490,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Carbohydrate metabolism  00040 Pentose and glucuronate interconversions  CHLREDRAFT_185081 (UGD2)  00053 Ascorbate and aldarate metabolism  CHLREDRAFT_185081 (UGD2)  00520 Amino sugar and nucleotide sugar metabolism  CHLREDRAFT_185081 (UGD2) Enzymes [BR:cre01000] ?1. Oxidoreductases  1.1 Acting on the CH-OH group of donors  1.1.1 With NAD+ or NADP+ as acceptor  1.1.1.22 UDP-glucose 6-dehydrogenase  CHLREDRAFT_185081 (UGD2),(RefSeq) UDP-glucose dehydrogenase,CHLREDRAFT_185081,CHLREDRAFT_185081?CDS T01039,K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22],"cre_M00361 Nucleotide sugar biosynthesis, eukaryotes",Pfam:?UDPG_MGDP_dh_N UDPG_MGDP_dh_C UDPG_MGDP_dh 3HCDH_N ApbA Sacchrp_dh_NADP Ldh_1_N GFO_IDH_MocA,NCBI-GeneID:?5723562NCBI-ProteinID:?XP_001698004JGI:?185081UniProt:?A8J914,cre00040 Pentose and glucuronate interconversionscre00053 Ascorbate and aldarate metabolismcre00520 Amino sugar and nucleotide sugar metabolismcre01100 Metabolic pathways,5723562,XP_001698004,A8J914
4491,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Transcription  03022 Basal transcription factors  CHLREDRAFT_185094 Transcription machinery [BR:cre03021] ?Eukaryotic type  RNA polymerase II system  Basal transcription factors  TFIID  CHLREDRAFT_185094  Coactivators  SAGA/TFTC/STAGA complex  CHLREDRAFT_185094 Chromosome [BR:cre03036] ?Eukaryotic Type  Histone modification proteins  HAT complexes  PCAF complex  CHLREDRAFT_185094  STAGA complex  CHLREDRAFT_185094  TFTC complex  CHLREDRAFT_185094  SAGA complex  CHLREDRAFT_185094  SLIK complex  CHLREDRAFT_185094,(RefSeq) hypothetical protein,CHLREDRAFT_185094,CHLREDRAFT_185094?CDS T01039,K03134 transcription initiation factor TFIID subunit 10,,Pfam:?TFIID_30kDa,NCBI-GeneID:?5723462NCBI-ProteinID:?XP_001697833JGI:?185094UniProt:?A8J8H6,cre03022 Basal transcription factors,5723462,XP_001697833,A8J8H6
4492,Messenger RNA biogenesis [BR:cre03019] ?Eukaryotic Type  mRNA surveillance and transport factors  Factors involved in mRNA localization  Cargo complex  CHLREDRAFT_185104 (MYO1)  mRNA cycle factors  P-body specific factors  CHLREDRAFT_185104 (MYO1) Membrane trafficking [BR:cre04131] ?Others  Actin-binding proteins  Myosins  CHLREDRAFT_185104 (MYO1) Mitochondrial biogenesis [BR:cre03029] ?Mitochondrial quality control factors  Mitochondrial dynamics  Retention of mitochondria  CHLREDRAFT_185104 (MYO1) Cytoskeleton proteins [BR:cre04812] ?Eukaryotic cytoskeleton proteins  Actin filaments / Microfilaments  Actin-binding proteins  Myosins  CHLREDRAFT_185104 (MYO1),"(RefSeq) myosin heavy chain, class XI",CHLREDRAFT_185104,CHLREDRAFT_185104?CDS T01039,K10357 myosin V,,Pfam:?Myosin_head DIL IQ Myosin_N AAA_16 B56 Sec34 NPV_P10 Reo_sigmaC,NCBI-GeneID:?5723473NCBI-ProteinID:?XP_001697846JGI:?185104UniProt:?A8J8K0,,5723473,XP_001697846,A8J8K0
4493,,(RefSeq) cytochrome b5 protein,CHLREDRAFT_185109,CHLREDRAFT_185109?CDS T01039,,,Pfam:?Cyt-b5 E2F_TDP,NCBI-GeneID:?5723412NCBI-ProteinID:?XP_001697853JGI:?185109UniProt:?A8J8L2,,5723412,XP_001697853,A8J8L2
4494,"Chromosome [BR:cre03036] ?Eukaryotic Type  Nucleosome assembly factors  Histones  CHLREDRAFT_185125 (HTV3) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_185125 (HTV3)",(RefSeq) histone H3 variant,CHLREDRAFT_185125,CHLREDRAFT_185125?CDS T01039,K11253 histone H3,,Pfam:?Histone CENP-T_C CENP-S CBFD_NFYB_HMF,NCBI-GeneID:?5723501NCBI-ProteinID:?XP_001697869JGI:?185125UniProt:?A8J8Q1,,5723501,XP_001697869,A8J8Q1
4495,Ubiquitin system [BR:cre04121] ?Deubiquitinating enzyme (DUB)  UBL-specific proteases (ULPs)  COP9 signalosome (CSN) complex  CHLREDRAFT_185149,(RefSeq) hypothetical protein,CHLREDRAFT_185149,CHLREDRAFT_185149?CDS T01039,K12180 COP9 signalosome complex subunit 7,,,NCBI-GeneID:?5723792NCBI-ProteinID:?XP_001698155JGI:?185149UniProt:?A8J9F7,,5723792,XP_001698155,A8J9F7
4496,Proteasome [BR:cre03051] ?Eukaryotic proteasome  Assembling factors  Assembling chaperones  CHLREDRAFT_185179,(RefSeq) hypothetical protein,CHLREDRAFT_185179,CHLREDRAFT_185179?CDS T01039,K11878 proteasome assembly chaperone 4,,Pfam:?PAC4,NCBI-GeneID:?5724251NCBI-ProteinID:?XP_001698652JGI:?185179UniProt:?A8J9P1,,5724251,XP_001698652,A8J9P1
4497,"KEGG Orthology (KO) [BR:cre00001] ?Cellular Processes  Transport and catabolism  04144 Endocytosis  CHLREDRAFT_185193 (VPS2A) Membrane trafficking [BR:cre04131] ?Endosome - Lysosome transport  Endosomal sorting complexes required for transport (ESCRT)  ESCRT-III complex  CHLREDRAFT_185193 (VPS2A) Exosome [BR:cre04147] ?Exosomal proteins  Exosomal proteins of haemopoietic cells (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)  CHLREDRAFT_185193 (VPS2A)  Exosomal proteins of other body fluids (saliva and urine)  CHLREDRAFT_185193 (VPS2A)  Exosomal proteins of colorectal cancer cells  CHLREDRAFT_185193 (VPS2A)",(RefSeq) subunit of the ESCRT-III complex,CHLREDRAFT_185193,CHLREDRAFT_185193?CDS T01039,K12191 charged multivesicular body protein 2A,cre_M00412 ESCRT-III complex,Pfam:?Snf7 GAS Ist1 Hemagglutinin,NCBI-GeneID:?5724208NCBI-ProteinID:?XP_001698676JGI:?185193UniProt:?A8J9U3,cre04144 Endocytosis,5724208,XP_001698676,A8J9U3
4498,,(RefSeq) hypothetical protein,CHLREDRAFT_185219,CHLREDRAFT_185219?CDS T01039,,,Pfam:?C2,NCBI-GeneID:?5724382NCBI-ProteinID:?XP_001698776JGI:?185219UniProt:?A8JA58,,5724382,XP_001698776,A8JA58
4499,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  03060 Protein export  CHLREDRAFT_185246 (SEC61G)  04141 Protein processing in endoplasmic reticulum  CHLREDRAFT_185246 (SEC61G) ?Cellular Processes  Transport and catabolism  04145 Phagosome  CHLREDRAFT_185246 (SEC61G) Secretion system [BR:cre02044] ?Sec (secretion) system  Eukaryotic Sec-SRP protein  CHLREDRAFT_185246 (SEC61G)",(RefSeq) SEC61-gamma subunit or ER translocon,CHLREDRAFT_185246,CHLREDRAFT_185246?CDS T01039,K07342 protein transport protein SEC61 subunit gamma and related proteins,cre_M00401 Sec61 complex,Pfam:?SecE,NCBI-GeneID:?5724439NCBI-ProteinID:?XP_001698939JGI:?185246UniProt:?A2PZD3,cre03060 Protein exportcre04141 Protein processing in endoplasmic reticulumcre04145 Phagosome,5724439,XP_001698939,A2PZD3
4500,,(RefSeq) hypothetical protein,CHLREDRAFT_185270,CHLREDRAFT_185270?CDS T01039,,,,NCBI-GeneID:?5724595NCBI-ProteinID:?XP_001698993JGI:?185270UniProt:?A8JAP2,,5724595,XP_001698993,A8JAP2
4501,,(RefSeq) hypothetical protein,CHLREDRAFT_185300,CHLREDRAFT_185300?CDS T01039,,,Pfam:?DUF218,NCBI-GeneID:?5724698NCBI-ProteinID:?XP_001699147JGI:?185300UniProt:?A8JB02,,5724698,XP_001699147,A8JB02
4502,,(RefSeq) low molecular mass early light-induced protein,CHLREDRAFT_185309,CHLREDRAFT_185309?CDS T01039,,,Pfam:?Chloroa_b-bind,NCBI-GeneID:?5724971NCBI-ProteinID:?XP_001699421JGI:?185309UniProt:?Q5W9T2,,5724971,XP_001699421,Q5W9T2
4503,"KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Folding, sorting and degradation  04141 Protein processing in endoplasmic reticulum  CHLREDRAFT_185318  04120 Ubiquitin mediated proteolysis  CHLREDRAFT_185318 Enzymes [BR:cre01000] ?2. Transferases  2.3 Acyltransferases  2.3.2 Aminoacyltransferases  2.3.2.23 E2 ubiquitin-conjugating enzyme  CHLREDRAFT_185318 Ubiquitin system [BR:cre04121] ?Ubiquitin-conjugating enzymes (E2)  Ubiquitin-conjugating enzymes  CHLREDRAFT_185318",(RefSeq) hypothetical protein,CHLREDRAFT_185318,CHLREDRAFT_185318?CDS T01039,K10578 ubiquitin-conjugating enzyme E2 J1 [EC:2.3.2.23],,Pfam:?UQ_con,NCBI-GeneID:?5724935NCBI-ProteinID:?XP_001699437JGI:?185318UniProt:?A8JBR3,cre04120 Ubiquitin mediated proteolysiscre04141 Protein processing in endoplasmic reticulum,5724935,XP_001699437,A8JBR3
4504,,(RefSeq) hypothetical protein,CHLREDRAFT_185322,CHLREDRAFT_185322?CDS T01039,,,Pfam:?zf-MYND,NCBI-GeneID:?5724999NCBI-ProteinID:?XP_001699449JGI:?185322UniProt:?A8JBT5,,5724999,XP_001699449,A8JBT5
4505,,(RefSeq) hypothetical protein,CHLREDRAFT_185334,CHLREDRAFT_185334?CDS T01039,,,,NCBI-GeneID:?5724715NCBI-ProteinID:?XP_001699223JGI:?185334UniProt:?Q9ATZ6,,5724715,XP_001699223,Q9ATZ6
4506,,(RefSeq) hypothetical protein,CHLREDRAFT_185335,CHLREDRAFT_185335?CDS T01039,,,Pfam:?EGF_2,NCBI-GeneID:?5724716NCBI-ProteinID:?XP_001699224JGI:?185335UniProt:?Q6PLP7,,5724716,XP_001699224,Q6PLP7
4507,,(RefSeq) hypothetical protein,CHLREDRAFT_185347,CHLREDRAFT_185347?CDS T01039,,,,NCBI-GeneID:?5724739NCBI-ProteinID:?XP_001699187JGI:?185347UniProt:?A8JB77,,5724739,XP_001699187,A8JB77
4508,,(RefSeq) hypothetical protein,CHLREDRAFT_185361,CHLREDRAFT_185361?CDS T01039,,,Pfam:?TPR_2 TPR_1 TPR_16 TPR_12 TPR_14 TPR_8 TPR_19 TPR_11 TPR_7 2Fe-2S_thioredx TPR_10 ANAPC3 TPR_6 Wzy_C_2 TPR_15 BTAD TPR_21 TPR_17 TPR_3 SHNi-TPR MIT,NCBI-GeneID:?5724764NCBI-ProteinID:?XP_001699214JGI:?185361UniProt:?A8JBD3,,5724764,XP_001699214,A8JBD3
4509,,(RefSeq) hydroxyproline-rich cell wall protein,CHLREDRAFT_185383,CHLREDRAFT_185383?CDS T01039,,,,NCBI-GeneID:?5724907NCBI-ProteinID:?XP_001699357JGI:?185383UniProt:?A8JBJ1,,5724907,XP_001699357,A8JBJ1
4510,Chromosome [BR:cre03036] ?Eukaryotic Type  Centrosome formation and ciliogenesis proteins  Intraflagellar transport (IFT) complex B  CHLREDRAFT_185392 (FAP116),(RefSeq) flagellar associated protein,CHLREDRAFT_185392,CHLREDRAFT_185392?CDS T01039,K19680 TRAF3-interacting protein 1,,Pfam:?MIP-T3 Plasmodium_Vir ANAPC4,NCBI-GeneID:?5725022NCBI-ProteinID:?XP_001699472JGI:?185392UniProt:?A8JBY2,,5725022,XP_001699472,A8JBY2
4511,KEGG Orthology (KO) [BR:cre00001] ?Cellular Processes  Transport and catabolism  04146 Peroxisome  CHLREDRAFT_185393,(RefSeq) hypothetical protein,CHLREDRAFT_185393,CHLREDRAFT_185393?CDS T01039,K13335 peroxin-16,,Pfam:?Pex16,NCBI-GeneID:?5725068NCBI-ProteinID:?XP_001699519JGI:?185393UniProt:?A8JBZ6,cre04146 Peroxisome,5725068,XP_001699519,A8JBZ6
4512,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Replication and repair  03030 DNA replication  CHLREDRAFT_185418 (RFC2)  03420 Nucleotide excision repair  CHLREDRAFT_185418 (RFC2)  03430 Mismatch repair  CHLREDRAFT_185418 (RFC2) DNA replication proteins [BR:cre03032] ?Eukaryotic Type  DNA Replication Elongation Factors  RFC (replication factor C)  CHLREDRAFT_185418 (RFC2)  DNA Replication Termination Factors  Other telomere regulation proteins  ELG1-RFC complex  CHLREDRAFT_185418 (RFC2) Chromosome [BR:cre03036] ?Eukaryotic Type  Sister chromatid cohesion proteins  CTF18-RFC complex  CHLREDRAFT_185418 (RFC2) DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  SSBR (single strand breaks repair)  MMR (mismatch exicision repair)  RFC (replication factor C)  CHLREDRAFT_185418 (RFC2)  Check point factors  HRAD17(Rad24)-RFC complex  CHLREDRAFT_185418 (RFC2),(RefSeq) DNA replication factor C complex subunit 2,CHLREDRAFT_185418,CHLREDRAFT_185418?CDS T01039,K10755 replication factor C subunit 2/4,cre_M00289 RF-C complex,Pfam:?Rep_fac_C AAA DNA_pol3_delta2 AAA_14 AAA_16 AAA_22 Mg_chelatase Rad17 AAA_11 Viral_helicase1 RuvB_N AAA_19 AAA_5 AAA_24 AAA_3 AAA_30 AAA_25 ABC_tran AAA_assoc_2 Adenine_deam_C KTI12 AAA_28 ArgK IstB_IS21 AAA_18 NTPase_1 T2SSE,NCBI-GeneID:?5725665NCBI-ProteinID:?XP_001700086JGI:?185418UniProt:?A8JCG5,cre03030 DNA replicationcre03420 Nucleotide excision repaircre03430 Mismatch repair,5725665,XP_001700086,A8JCG5
4513,,(RefSeq) hypothetical protein,CHLREDRAFT_185462,CHLREDRAFT_185462?CDS T01039,,,,NCBI-GeneID:?5725857NCBI-ProteinID:?XP_001700273JGI:?185462UniProt:?A8JCW1,,5725857,XP_001700273,A8JCW1
4514,,(RefSeq) hypothetical protein,CHLREDRAFT_185467,CHLREDRAFT_185467?CDS T01039,,,Pfam:?DUF3067,NCBI-GeneID:?5725864NCBI-ProteinID:?XP_001700314JGI:?185467UniProt:?A8JCY0,,5725864,XP_001700314,A8JCY0
4515,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Overview  01200 Carbon metabolism  CHLREDRAFT_185478 (BCC1)  01212 Fatty acid metabolism  CHLREDRAFT_185478 (BCC1)  Carbohydrate metabolism  00620 Pyruvate metabolism  CHLREDRAFT_185478 (BCC1)  00640 Propanoate metabolism  CHLREDRAFT_185478 (BCC1)  Lipid metabolism  00061 Fatty acid biosynthesis  CHLREDRAFT_185478 (BCC1),(RefSeq) acetyl-coa biotin carboxyl carrier,CHLREDRAFT_185478,CHLREDRAFT_185478?CDS T01039,K02160 acetyl-CoA carboxylase biotin carboxyl carrier protein,"cre_M00082 Fatty acid biosynthesis, initiation",Pfam:?Biotin_lipoyl GCV_H Biotin_lipoyl_2 RnfC_N DEC-1_N,NCBI-GeneID:?5725945NCBI-ProteinID:?XP_001700442JGI:?185478UniProt:?A8JDA7,cre00061 Fatty acid biosynthesiscre00620 Pyruvate metabolismcre00640 Propanoate metabolismcre01100 Metabolic pathwayscre01110 Biosynthesis of secondary metabolitescre01200 Carbon metabolismcre01212 Fatty acid metabolism,5725945,XP_001700442,A8JDA7
4516,Chaperones and folding catalysts [BR:cre03110] ?Heat shock proteins  HSP33  CHLREDRAFT_185480 (HSP33),(RefSeq) heat shock protein 33,CHLREDRAFT_185480,CHLREDRAFT_185480?CDS T01039,K04083 molecular chaperone Hsp33,,Pfam:?HSP33,NCBI-GeneID:?5725946NCBI-ProteinID:?XP_001700446JGI:?185480UniProt:?Q944P3,,5725946,XP_001700446,Q944P3
4517,,(RefSeq) hypothetical protein,CHLREDRAFT_185486,CHLREDRAFT_185486?CDS T01039,,,Pfam:?PAP_fibrillin,NCBI-GeneID:?5725957NCBI-ProteinID:?XP_001700406JGI:?185486UniProt:?A8JDD4,,5725957,XP_001700406,A8JDD4
4518,,(RefSeq) oxoglutarate:malate antiporter,CHLREDRAFT_185488,CHLREDRAFT_185488?CDS T01039,,,Pfam:?Na_sulph_symp CitMHS,NCBI-GeneID:?5725961NCBI-ProteinID:?XP_001700410JGI:?185488UniProt:?A8JDE3,,5725961,XP_001700410,A8JDE3
4519,KEGG Orthology (KO) [BR:cre00001] ?Genetic Information Processing  Translation  03015 mRNA surveillance pathway  CHLREDRAFT_185509 (PP2A1) Protein phosphatases and associated proteins [BR:cre01009] ?Protein Ser/ Thr phosphatases  Phosphoprotein phosphatases (PPPs)  Protein phosphatase-2 (PP2A)  Regulatory subunits  CHLREDRAFT_185509 (PP2A1) Chromosome [BR:cre03036] ?Eukaryotic Type  Centromeric chromatin formation proteins  Other centromeric chromatin formation proteins  PP2A (protein phosphatase 2A)  CHLREDRAFT_185509 (PP2A1),(RefSeq) PP2A-twin subunit,CHLREDRAFT_185509,CHLREDRAFT_185509?CDS T01039,K04354 serine/threonine-protein phosphatase 2A regulatory subunit B,,Pfam:?WD40,NCBI-GeneID:?5725732NCBI-ProteinID:?XP_001700181JGI:?185509UniProt:?A8JCR1,cre03015 mRNA surveillance pathway,5725732,XP_001700181,A8JCR1
4520,"KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Energy metabolism  00196 Photosynthesis - antenna proteins  CHLREDRAFT_185533 (LHCBM1) Photosynthesis proteins [BR:cre00194] ?Antenna proteins  Light-harvesting chlorophyll-protein complex (LHC) - Plant, Green alga [OT]  LHCII  CHLREDRAFT_185533 (LHCBM1)",(RefSeq) chlorophyll a-b binding protein of LHCII,CHLREDRAFT_185533,CHLREDRAFT_185533?CDS T01039,K08913 light-harvesting complex II chlorophyll a/b binding protein 2,,Pfam:?Chloroa_b-bind,NCBI-GeneID:?5725794NCBI-ProteinID:?XP_001700243JGI:?185533UniProt:?A8JCU4,cre00196 Photosynthesis - antenna proteinscre01100 Metabolic pathways,5725794,XP_001700243,A8JCU4
4521,,(RefSeq) hypothetical protein,CHLREDRAFT_185542,CHLREDRAFT_185542?CDS T01039,,,Pfam:?DUF3007 Wzy_C Tropomodulin,NCBI-GeneID:?5725912NCBI-ProteinID:?XP_001700362JGI:?185542UniProt:?A8JD41,,5725912,XP_001700362,A8JD41
4522,Enzymes [BR:cre01000] ?5. Isomerases  5.2 cis-trans-Isomerases  5.2.1 cis-trans Isomerases (only sub-subclass identified to date)  5.2.1.8 peptidylprolyl isomerase  CHLREDRAFT_185571 (CYN20-3) Chaperones and folding catalysts [BR:cre03110] ?Protein folding catalysts  Peptidyl prolyl isomerase  Cyclophilin  CHLREDRAFT_185571 (CYN20-3),"(RefSeq) peptidyl-prolyl cis-trans isomerase, cyclophilin-type",CHLREDRAFT_185571,CHLREDRAFT_185571?CDS T01039,K03768 peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8],,Pfam:?Pro_isomerase,NCBI-GeneID:?5726097NCBI-ProteinID:?XP_001700546JGI:?185571UniProt:?A8JDL5,,5726097,XP_001700546,A8JDL5
4523,KEGG Orthology (KO) [BR:cre00001] ?Metabolism  Nucleotide metabolism  00230 Purine metabolism  CHLREDRAFT_185583 (RIR1)  00240 Pyrimidine metabolism  CHLREDRAFT_185583 (RIR1)  Metabolism of other amino acids  00480 Glutathione metabolism  CHLREDRAFT_185583 (RIR1) Enzymes [BR:cre01000] ?1. Oxidoreductases  1.17 Acting on CH or CH2 groups  1.17.4 With a disulfide as acceptor  1.17.4.1 ribonucleoside-diphosphate reductase  CHLREDRAFT_185583 (RIR1) DNA repair and recombination proteins [BR:cre03400] ?Eukaryotic Type  Other factors with a suspected DNA repair function  Modulation of nucleotide pools  CHLREDRAFT_185583 (RIR1),(RefSeq) ribonucleoside-diphosphate reductase large subunit,CHLREDRAFT_185583,CHLREDRAFT_185583?CDS T01039,K10807 ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1],,Pfam:?Ribonuc_red_lgC Ribonuc_red_lgN ATP-cone Ly-6_related,NCBI-GeneID:?5726125NCBI-ProteinID:?XP_001700540JGI:?185583UniProt:?A8JDR3,cre00230 Purine metabolismcre00240 Pyrimidine metabolismcre00480 Glutathione metabolismcre01100 Metabolic pathways,5726125,XP_001700540,A8JDR3
4524,,(RefSeq) hypothetical protein,CHLREDRAFT_185598,CHLREDRAFT_185598?CDS T01039,,,Pfam:?TPM_phosphatase,NCBI-GeneID:?5726160NCBI-ProteinID:?XP_001700629JGI:?185598UniProt:?A8JDW2,,5726160,XP_001700629,A8JDW2
